jobID,  modelID,  status,  completionReason,  startTime,  endTime,  runtime(s),  expDesc,  numRecords,  modelParams|sensorParams|encoders|rwidth:n,  modelParams|sensorParams|encoders|rpos:n,  modelParams|clParams|alpha,  modelParams|tpParams|minThreshold,  modelParams|tpParams|activationThreshold,  modelParams|sensorParams|encoders|lwidth:n,  modelParams|tpParams|pamLength,  modelParams|sensorParams|encoders|lpos:n,  modelParams|sensorParams|encoders|_classifierInput|n,  modelParams|inferenceType,  modelParams|spParams|synPermInactiveDec,  multiStepBestPredictions:multiStep:errorMetric='aae':steps=[20]:window=1000:field=lpos,  multiStepBestPredictions:multiStep:errorMetric='altMAPE':steps=[20]:window=1000:field=lpos, 
1041,  12078,  completed,  eof,  2014-05-04 18:00:46,  2014-05-04 18:02:39,  113,  modelParams|clParams|alpha_0.025075.modelParams|tpParams|minThreshold_10.modelParams|tpParams|activationThreshold_13.modelParams|sensorParams|encoders|lwidth:n_147.modelParams|tpParams|pamLength_2.modelParams|sensorParams|encoders|lpos:n_496.modelParams|sensorParams|encoders|_classifierInput|n_151.modelParams|inferenceType_NontemporalMultiStep.modelParams|spParams|synPermInactiveDec_0.075075,  28629,  None,  None,  0.025075,  10,  13,  147,  2,  496,  151,  NontemporalMultiStep,  0.075075,  0.219858405459,  1.2510425251, 
1041,  12089,  completed,  eof,  2014-05-04 18:00:46,  2014-05-04 18:02:39,  113,  modelParams|sensorParams|encoders|rwidth:n_147.modelParams|clParams|alpha_0.025075.modelParams|tpParams|minThreshold_10.modelParams|tpParams|activationThreshold_13.modelParams|tpParams|pamLength_2.modelParams|sensorParams|encoders|lpos:n_496.modelParams|sensorParams|encoders|_classifierInput|n_151.modelParams|inferenceType_NontemporalMultiStep.modelParams|spParams|synPermInactiveDec_0.075075,  28629,  147,  None,  0.025075,  10,  13,  None,  2,  496,  151,  NontemporalMultiStep,  0.075075,  0.224289642445,  1.27625723498, 
1041,  12090,  completed,  eof,  2014-05-04 18:02:39,  2014-05-04 18:05:13,  154,  modelParams|clParams|alpha_0.075025.modelParams|tpParams|minThreshold_11.modelParams|tpParams|activationThreshold_15.modelParams|sensorParams|encoders|lwidth:n_396.modelParams|tpParams|pamLength_4.modelParams|sensorParams|encoders|lpos:n_521.modelParams|sensorParams|encoders|_classifierInput|n_398.modelParams|inferenceType_NontemporalMultiStep.modelParams|spParams|synPermInactiveDec_0.025225,  28629,  None,  None,  0.075025,  11,  15,  396,  4,  521,  398,  NontemporalMultiStep,  0.025225,  0.352880795746,  2.00796908741, 
1041,  12101,  completed,  eof,  2014-05-04 18:02:40,  2014-05-04 18:05:16,  156,  modelParams|sensorParams|encoders|rwidth:n_396.modelParams|clParams|alpha_0.075025.modelParams|tpParams|minThreshold_11.modelParams|tpParams|activationThreshold_15.modelParams|tpParams|pamLength_4.modelParams|sensorParams|encoders|lpos:n_521.modelParams|sensorParams|encoders|_classifierInput|n_398.modelParams|inferenceType_NontemporalMultiStep.modelParams|spParams|synPermInactiveDec_0.025225,  28629,  396,  None,  0.075025,  11,  15,  None,  4,  521,  398,  NontemporalMultiStep,  0.025225,  0.331264298814,  1.88496648104, 
1041,  12102,  completed,  eof,  2014-05-04 18:03:30,  2014-05-04 18:15:09,  699,  modelParams|clParams|alpha_0.0145852851107.modelParams|tpParams|minThreshold_9.modelParams|tpParams|activationThreshold_12.modelParams|sensorParams|encoders|lwidth:n_88.modelParams|tpParams|pamLength_2.modelParams|sensorParams|encoders|lpos:n_521.modelParams|sensorParams|encoders|_classifierInput|n_82.modelParams|inferenceType_TemporalMultiStep.modelParams|spParams|synPermInactiveDec_0.0994105860035,  28629,  None,  None,  0.0145852851107,  9,  12,  88,  2,  521,  82,  TemporalMultiStep,  0.0994105860035,  0.141257578841,  0.803786590532, 
1041,  12103,  completed,  eof,  2014-05-04 18:03:31,  2014-05-04 18:13:56,  625,  modelParams|sensorParams|encoders|rwidth:n_94.modelParams|clParams|alpha_0.0106252494518.modelParams|tpParams|minThreshold_9.modelParams|tpParams|activationThreshold_13.modelParams|tpParams|pamLength_2.modelParams|sensorParams|encoders|lpos:n_521.modelParams|sensorParams|encoders|_classifierInput|n_82.modelParams|inferenceType_TemporalMultiStep.modelParams|spParams|synPermInactiveDec_0.0994105860035,  28629,  94,  None,  0.0106252494518,  9,  13,  None,  2,  521,  82,  TemporalMultiStep,  0.0994105860035,  0.162035426809,  0.922017100449, 
1041,  12104,  completed,  eof,  2014-05-04 18:05:13,  2014-05-04 18:16:04,  651,  modelParams|clParams|alpha_0.0001.modelParams|tpParams|minThreshold_9.modelParams|tpParams|activationThreshold_12.modelParams|sensorParams|encoders|lwidth:n_22.modelParams|tpParams|pamLength_1.modelParams|sensorParams|encoders|lpos:n_521.modelParams|sensorParams|encoders|_classifierInput|n_53.modelParams|inferenceType_TemporalMultiStep.modelParams|spParams|synPermInactiveDec_0.095015,  28629,  None,  None,  0.0001,  9,  12,  22,  1,  521,  53,  TemporalMultiStep,  0.095015,  0.150851957021,  0.858380705681, 
1041,  12105,  completed,  eof,  2014-05-04 18:05:16,  2014-05-04 18:15:48,  632,  modelParams|sensorParams|encoders|rwidth:n_22.modelParams|clParams|alpha_0.005095.modelParams|tpParams|minThreshold_9.modelParams|tpParams|activationThreshold_12.modelParams|tpParams|pamLength_1.modelParams|sensorParams|encoders|lpos:n_521.modelParams|sensorParams|encoders|_classifierInput|n_53.modelParams|inferenceType_TemporalMultiStep.modelParams|spParams|synPermInactiveDec_0.095015,  28629,  22,  None,  0.005095,  9,  12,  None,  1,  521,  53,  TemporalMultiStep,  0.095015,  0.187769325155,  1.06844862351, 
1041,  12106,  completed,  eof,  2014-05-04 18:13:56,  2014-05-04 18:25:57,  721,  modelParams|clParams|alpha_0.0140855702213.modelParams|tpParams|minThreshold_9.modelParams|tpParams|activationThreshold_12.modelParams|sensorParams|encoders|lwidth:n_79.modelParams|tpParams|pamLength_2.modelParams|sensorParams|encoders|lpos:n_521.modelParams|sensorParams|encoders|_classifierInput|n_112.modelParams|inferenceType_TemporalMultiStep.modelParams|spParams|synPermInactiveDec_0.093836172007,  28629,  None,  None,  0.0140855702213,  9,  12,  79,  2,  521,  112,  TemporalMultiStep,  0.093836172007,  0.141254243955,  0.803767614297, 
1041,  12107,  completed,  eof,  2014-05-04 18:15:09,  2014-05-04 18:27:12,  723,  modelParams|sensorParams|encoders|rwidth:n_150.modelParams|clParams|alpha_0.0255154379447.modelParams|tpParams|minThreshold_9.modelParams|tpParams|activationThreshold_13.modelParams|tpParams|pamLength_2.modelParams|sensorParams|encoders|lpos:n_521.modelParams|sensorParams|encoders|_classifierInput|n_160.modelParams|inferenceType_TemporalMultiStep.modelParams|spParams|synPermInactiveDec_0.0933126684946,  28629,  150,  None,  0.0255154379447,  9,  13,  None,  2,  521,  160,  TemporalMultiStep,  0.0933126684946,  0.195250439948,  1.11101780671, 
1041,  12108,  completed,  eof,  2014-05-04 18:15:48,  2014-05-04 18:27:11,  683,  modelParams|clParams|alpha_0.0115832858119.modelParams|tpParams|minThreshold_9.modelParams|tpParams|activationThreshold_12.modelParams|sensorParams|encoders|lwidth:n_122.modelParams|tpParams|pamLength_2.modelParams|sensorParams|encoders|lpos:n_515.modelParams|sensorParams|encoders|_classifierInput|n_66.modelParams|inferenceType_TemporalMultiStep.modelParams|spParams|synPermInactiveDec_0.1,  28629,  None,  None,  0.0115832858119,  9,  12,  122,  2,  515,  66,  TemporalMultiStep,  0.1,  0.142585432713,  0.811342370158, 
1041,  12109,  completed,  eof,  2014-05-04 18:16:04,  2014-05-04 18:26:57,  653,  modelParams|sensorParams|encoders|rwidth:n_79.modelParams|clParams|alpha_0.00723006376706.modelParams|tpParams|minThreshold_9.modelParams|tpParams|activationThreshold_13.modelParams|tpParams|pamLength_2.modelParams|sensorParams|encoders|lpos:n_515.modelParams|sensorParams|encoders|_classifierInput|n_66.modelParams|inferenceType_TemporalMultiStep.modelParams|spParams|synPermInactiveDec_0.1,  28629,  79,  None,  0.00723006376706,  9,  13,  None,  2,  515,  66,  TemporalMultiStep,  0.1,  0.142479142347,  0.810737554672, 
1041,  12110,  completed,  eof,  2014-05-04 18:25:58,  2014-05-04 18:39:04,  786,  modelParams|clParams|alpha_0.0206687997124.modelParams|tpParams|minThreshold_9.modelParams|tpParams|activationThreshold_12.modelParams|sensorParams|encoders|lwidth:n_107.modelParams|tpParams|pamLength_3.modelParams|sensorParams|encoders|lpos:n_521.modelParams|sensorParams|encoders|_classifierInput|n_171.modelParams|inferenceType_TemporalMultiStep.modelParams|spParams|synPermInactiveDec_0.0811788133801,  28629,  None,  None,  0.0206687997124,  9,  12,  107,  3,  521,  171,  TemporalMultiStep,  0.0811788133801,  0.152650726883,  0.868616100531, 
1041,  12111,  completed,  eof,  2014-05-04 18:26:57,  2014-05-04 18:38:45,  708,  modelParams|sensorParams|encoders|rwidth:n_115.modelParams|clParams|alpha_0.0197310279099.modelParams|tpParams|minThreshold_9.modelParams|tpParams|activationThreshold_13.modelParams|tpParams|pamLength_2.modelParams|sensorParams|encoders|lpos:n_521.modelParams|sensorParams|encoders|_classifierInput|n_130.modelParams|inferenceType_TemporalMultiStep.modelParams|spParams|synPermInactiveDec_0.0866533790052,  28629,  115,  None,  0.0197310279099,  9,  13,  None,  2,  521,  130,  TemporalMultiStep,  0.0866533790052,  0.146887964775,  0.835824720801, 
1041,  12112,  completed,  eof,  2014-05-04 18:27:11,  2014-05-04 18:38:49,  698,  modelParams|clParams|alpha_0.00531433517812.modelParams|tpParams|minThreshold_9.modelParams|tpParams|activationThreshold_12.modelParams|sensorParams|encoders|lwidth:n_34.modelParams|tpParams|pamLength_1.modelParams|sensorParams|encoders|lpos:n_521.modelParams|sensorParams|encoders|_classifierInput|n_60.modelParams|inferenceType_TemporalMultiStep.modelParams|spParams|synPermInactiveDec_0.1,  28629,  None,  None,  0.00531433517812,  9,  12,  34,  1,  521,  60,  TemporalMultiStep,  0.1,  0.155868753214,  0.886927375821, 
1041,  12113,  completed,  eof,  2014-05-04 18:27:12,  2014-05-04 18:38:34,  682,  modelParams|sensorParams|encoders|rwidth:n_37.modelParams|clParams|alpha_0.0001.modelParams|tpParams|minThreshold_9.modelParams|tpParams|activationThreshold_12.modelParams|tpParams|pamLength_1.modelParams|sensorParams|encoders|lpos:n_517.modelParams|sensorParams|encoders|_classifierInput|n_28.modelParams|inferenceType_TemporalMultiStep.modelParams|spParams|synPermInactiveDec_0.1,  28629,  37,  None,  0.0001,  9,  12,  None,  1,  517,  28,  TemporalMultiStep,  0.1,  0.201803182266,  1.14830434701, 
1041,  12114,  completed,  eof,  2014-05-04 18:38:34,  2014-05-04 18:50:45,  731,  modelParams|clParams|alpha_0.0101796220464.modelParams|tpParams|minThreshold_9.modelParams|tpParams|activationThreshold_12.modelParams|sensorParams|encoders|lwidth:n_63.modelParams|tpParams|pamLength_2.modelParams|sensorParams|encoders|lpos:n_521.modelParams|sensorParams|encoders|_classifierInput|n_111.modelParams|inferenceType_TemporalMultiStep.modelParams|spParams|synPermInactiveDec_0.0927217429752,  28629,  None,  None,  0.0101796220464,  9,  12,  63,  2,  521,  111,  TemporalMultiStep,  0.0927217429752,  0.147743471348,  0.840692740749, 
1041,  12115,  completed,  eof,  2014-05-04 18:38:45,  2014-05-04 18:50:05,  680,  modelParams|sensorParams|encoders|rwidth:n_62.modelParams|clParams|alpha_0.00824242867742.modelParams|tpParams|minThreshold_9.modelParams|tpParams|activationThreshold_13.modelParams|tpParams|pamLength_2.modelParams|sensorParams|encoders|lpos:n_517.modelParams|sensorParams|encoders|_classifierInput|n_70.modelParams|inferenceType_TemporalMultiStep.modelParams|spParams|synPermInactiveDec_0.0981963086003,  28629,  62,  None,  0.00824242867742,  9,  13,  None,  2,  517,  70,  TemporalMultiStep,  0.0981963086003,  0.154647597155,  0.879978730135, 
1041,  12116,  completed,  eof,  2014-05-04 18:38:50,  2014-05-04 18:49:21,  631,  modelParams|clParams|alpha_0.0001.modelParams|tpParams|minThreshold_9.modelParams|tpParams|activationThreshold_12.modelParams|sensorParams|encoders|lwidth:n_22.modelParams|tpParams|pamLength_1.modelParams|sensorParams|encoders|lpos:n_521.modelParams|sensorParams|encoders|_classifierInput|n_28.modelParams|inferenceType_TemporalMultiStep.modelParams|spParams|synPermInactiveDec_0.1,  28629,  None,  None,  0.0001,  9,  12,  22,  1,  521,  28,  TemporalMultiStep,  0.1,  0.201308614916,  1.14549015037, 
1041,  12117,  completed,  eof,  2014-05-04 18:39:04,  2014-05-04 18:50:00,  656,  modelParams|sensorParams|encoders|rwidth:n_22.modelParams|clParams|alpha_0.0001.modelParams|tpParams|minThreshold_9.modelParams|tpParams|activationThreshold_13.modelParams|tpParams|pamLength_2.modelParams|sensorParams|encoders|lpos:n_517.modelParams|sensorParams|encoders|_classifierInput|n_28.modelParams|inferenceType_TemporalMultiStep.modelParams|spParams|synPermInactiveDec_0.1,  28629,  22,  None,  0.0001,  9,  13,  None,  2,  517,  28,  TemporalMultiStep,  0.1,  0.207132291001,  1.17862814398, 
1041,  12118,  completed,  eof,  2014-05-04 18:49:21,  2014-05-04 19:01:06,  705,  modelParams|clParams|alpha_0.0102372184016.modelParams|tpParams|minThreshold_9.modelParams|tpParams|activationThreshold_12.modelParams|sensorParams|encoders|lwidth:n_80.modelParams|tpParams|pamLength_2.modelParams|sensorParams|encoders|lpos:n_521.modelParams|sensorParams|encoders|_classifierInput|n_85.modelParams|inferenceType_TemporalMultiStep.modelParams|spParams|synPermInactiveDec_0.1,  28629,  None,  None,  0.0102372184016,  9,  12,  80,  2,  521,  85,  TemporalMultiStep,  0.1,  0.13747623978,  0.782269942314, 
1041,  12119,  completed,  eof,  2014-05-04 18:50:00,  2014-05-04 19:00:43,  643,  modelParams|sensorParams|encoders|rwidth:n_62.modelParams|clParams|alpha_0.00276882970882.modelParams|tpParams|minThreshold_9.modelParams|tpParams|activationThreshold_13.modelParams|tpParams|pamLength_2.modelParams|sensorParams|encoders|lpos:n_520.modelParams|sensorParams|encoders|_classifierInput|n_45.modelParams|inferenceType_TemporalMultiStep.modelParams|spParams|synPermInactiveDec_0.1,  28629,  62,  None,  0.00276882970882,  9,  13,  None,  2,  520,  45,  TemporalMultiStep,  0.1,  0.157830881711,  0.898092317108, 
1041,  12120,  completed,  eof,  2014-05-04 18:50:05,  2014-05-04 19:00:52,  647,  modelParams|clParams|alpha_0.00174730543107.modelParams|tpParams|minThreshold_9.modelParams|tpParams|activationThreshold_12.modelParams|sensorParams|encoders|lwidth:n_22.modelParams|tpParams|pamLength_1.modelParams|sensorParams|encoders|lpos:n_521.modelParams|sensorParams|encoders|_classifierInput|n_62.modelParams|inferenceType_TemporalMultiStep.modelParams|spParams|synPermInactiveDec_0.1,  28629,  None,  None,  0.00174730543107,  9,  12,  22,  1,  521,  62,  TemporalMultiStep,  0.1,  0.167867141525,  0.955200835634, 
